Symptoms,Disease
burning sensation scaly patches on the skin,Skin and Scalp Psoriasis
nausea rash in some cases Severe headache vomiting sensitivity to light high fever seizures confusion drowsiness stiff neck,Meningitis
A painless lump or swelling in one testicle breast tenderness sudden fluid buildup in the scrotum,Testicular Cancer
irritability choking or gasping at night episodes of stopped breathing during sleep,Obstructive Sleep Apnoea (OSA)
cough High fever a red blotchy skin rash that spreads from the face downward,Measles
flaky scales on the scalp causing itching or dandruff-like appearance thickened nails Red itching cracked or dry skin that may bleed silvery-white flakes,Skin and Scalp Psoriasis
fatigue increased hunger,Diabetes in Pregnancy
difficulty with physical activity rapid weight gain fatigue joint or back pain breathlessness low energy,Obesity in Adults
pain during overhead activities Shoulder pain,Subacromial Pain Syndrome
nausea or vomiting personality or behavior changes,Brain Tumours
dryness Red or pink patches on the skin small raised bumps irritation occasional burning sensation mild itching rough or scaly texture,Eczema (Atopic Dermatitis)
dark or dead tissue fluid discharge pain slow healing foul smell in infected ulcers swelling surrounding skin tenderness redness Open sore on the skin,Skin Ulcer
pelvic pain very high hCG levels severe nausea,Molar Pregnancy
Increased thirst in some cases no noticeable symptoms frequent urination blurred vision fatigue increased hunger,Diabetes in Pregnancy
Wheezing shortness of breath or exercise smoke difficulty breathing during triggers like dust persistent cough especially at night or early morning chest tightness,Asthma
constipation goes depending on the cause gas sharp or dull pain in the abdomen indigestion nausea or pain that comes,Stomach Ache and Abdominal Pain
a visible small tear near the anus bright red blood on toilet paper or stool itching,Anal Fissures
shortness of breath Cough with mucus chest discomfort wheezing,Chest Infection
nausea fever vomiting signs of dehydration such as dry mouth or dizziness,Gastroenteritis
Pain at the base of the spine pain when leaning back increased pain during activities like standing up from sitting or using the toilet tenderness around the tailbone swelling discomfort when sitting,Tailbone Pain
difficulty recalling recent events inability to form new memories Memory loss in some cases emotional distress or changes in behavior confusion repetitive questions disorientation,Amnesia
diarrhea abdominal cramps rumbling sounds in the stomach gas,Lactose Intolerance
swollen lymph nodes Painless sores on the genitals,Syphilis
low energy Excess body weight breathlessness rapid weight gain difficulty with physical activity early signs of puberty or hormonal imbalance sleep problems joint pain,Obesity in Children
sleep disturbances shuffling gait fatigue,Parkinson’s Disease
difficulty swallowing progressive weakness in eyelid,Oculopharyngeal Muscular Dystrophy (OPMD)
red or flushed skin enlarged spleen fatigue numbness or tingling in hands blurred vision dizziness Headaches a feeling of fullness in the left upper abdomen,Polycythemia Vera
chills High fever chest pain while breathing or coughing cough with phlegm sweating rapid breathing fatigue shortness of breath,Pneumonia
skin rashes on palms fever swollen lymph nodes or anus nerves mouth patchy hair loss brain soles Painless sores on the genitals fatigue,Syphilis
blurred vision Shakiness irritability hunger confusion,Hypoglycaemia
mood changes frequent infections Fatigue muscle weakness bone pain,Vitamin D Deficiency
shortness of breath frequent infections anaemia fatigue swelling of hands,Sickle Cell Disease
withdrawal from social activities Hallucinations difficulty concentrating,Psychosis
anemia weakness,Multiple Myeloma
pain or discomfort especially when bending or lifting sharp pain during exertion heaviness or pressure in the abdomen or groin swelling Visible or palpable bulge under the skin,Hernia
tenderness fatigue,Psoriatic Arthritis
Wheezing fatigue during play shortness of breath,Asthma in Children
nausea jaw or back,Heart Attack
cloudy or foul-smelling urine frequent urge to urinate Severe flank or back pain vomiting sharp pain radiating to the lower abdomen or groin blood in urine nausea painful urination,Kidney Stones
feet anaemia,Sickle Cell Disease
red patches Persistent skin lumps or patches itching,Skin Cancer (Non-Melanoma)
disorganized speech reduced motivation confused thinking impaired daily functioning,Schizophrenia
Recurrent seizures temporary confusion uncontrolled jerking movements,Epilepsy
post-nasal drip Sneezing cough itchy or watery eyes itchy nose runny or stuffy nose,Allergic Rhinitis
high calcium levels kidney problems anemia fatigue,Multiple Myeloma
stiffness swelling Joint pain fatigue,Arthritis
facial pain or pressure reduced sense of smell headaches,Nasal and Sinus Cancer
Lower back pain pain radiating to the buttocks or legs muscle tightness in severe cases weakness in the legs difficulty standing or walking for long periods numbness or tingling stiffness,Spondylolisthesis
rapid heartbeat bluish lips or skin fatigue swelling in ankles or legs chest pain Shortness of breath dizziness fainting spells,Pulmonary Hypertension
flare-ups triggered by allergens or irritants small bumps that may ooze Dry itchy skin thickened or cracked skin stress red or inflamed patches,Atopic Eczema
nausea yellowing of skin or eyes (jaundice) fever pale stools vomiting Fatigue dark urine loss of appetite abdominal pain joint pain,Hepatitis
confusion jaundice abdominal swelling loss of appetite Fatigue easy bruising itchy skin weight loss dark urine,Cirrhosis
fatigue Blood in urine abdominal mass fever loss of appetite,Kidney Cancer
gum tenderness Red swollen gums,Gum Disease
bloating painful periods,Ovarian Cyst
dry or scaly skin legs Red or pink patches neck or whole body depending on the cause fever in some cases blisters small bumps arms rashes that may appear on the face,Skin Rashes in Children
chest tightness shortness of breath rapid breathing fatigue during play,Asthma in Children
causing difficulty in relationships trouble coping with stress rigid or harmful thinking patterns feeling emotional instability behaving that differ from cultural expectations,Personality Disorder
unexplained weight loss in advanced cases reduced mobility in affected limb increasing size of a mass pain or pressure if the tumour presses on nerves or muscles Painless lump under the skin swelling,Soft Tissue Sarcomas
swelling warmth painful lump on the skin fever in severe cases tenderness possible spreading to nearby skin pus-filled center Red,Boils on Skin
lower back pain painful urination especially in knees skin rashes redness or swelling of eyes ankles feet Joint pain swelling heel pain,Reactive Arthritis
muffled sounds asking for repetitions turning up volume frequently trouble hearing in noisy places withdrawal from conversations ringing in ears (tinnitus),Hearing Loss
dizziness cold hands,Iron Deficiency Anaemia
unexplained weight loss in advanced cases pain or pressure if the tumour presses on nerves or muscles swelling increasing size of a mass,Soft Tissue Sarcomas
Bleeding between periods irregular cycles passing large clots very heavy periods severe cramping,Abnormal Uterine Bleeding
dizziness blurred vision sleep disturbances mood changes such as anxiety or depression difficulty concentrating memory problems fatigue sensitivity to light or noise Headaches,Post-Concussion Syndrome (PCS)
nausea sensitivity to light sound dizziness usually on one side,Migraine
staring spells temporary confusion fatigue after episodes Recurrent seizures uncontrolled jerking movements loss of awareness,Epilepsy
headache absence of cough fever white patches on tonsils painful swallowing,Strep Throat
Pain at the base of the spine swelling,Tailbone Pain
very high hCG levels severe nausea,Molar Pregnancy
fatigue bone pain changes in bowel or bladder habits,Neuroblastoma (Childhood Tumour)
genitals itching or burning sensation mouth body aches during initial infection,Herpes
choking while eating nasal-sounding voice throat muscles difficulty swallowing Drooping eyelids,Oculopharyngeal Muscular Dystrophy (OPMD)
fatigue runny or stuffy nose sore throat,COVID-19
loss of appetite difficulty concentrating,Chronic Kidney Disease
breathlessness sleep problems Excess body weight low energy early signs of puberty or hormonal imbalance rapid weight gain joint pain difficulty with physical activity,Obesity in Children
fainting or sometimes no symptoms until a cardiac event,Inherited Heart Conditions
dry mouth weakness Profuse watery diarrhea muscle cramps vomiting low blood pressure,Cholera
rough or scaly texture dryness irritation Red or pink patches on the skin occasional burning sensation small raised bumps,Eczema (Atopic Dermatitis)
Low birth weight feeding problems heart defects breathing difficulties,Edwards’ Syndrome
Sharp pain during or after bowel movements bright red blood on toilet paper or stool,Anal Fissures
rash in finger webs small red bumps or blisters thin wavy burrow lines on the skin especially at night Intense itching genital area skin crusting in severe cases,Scabies
Painless swollen lymph nodes fatigue weight loss abdominal pain or swelling fever night sweats frequent infections,Non-Hodgkin Lymphoma in Children
cold hands shortness of breath Fatigue cravings for non-food items like ice or clay pale skin weakness,Iron Deficiency Anaemia
coughing up blood Persistent cough for more than 2–3 weeks fever fatigue night sweats chest pain weight loss,Tuberculosis
Mild breathing difficulty sneezing,Upper Respiratory Tract Infection (URTI)
Red scaling cracked skin patches of peeling or inflamed skin,Ringworm and Other Fungal Infections
fatigue dark urine loss of appetite digestive problems such as bloating or indigestion nausea unexplained weight loss pale stools Persistent upper abdominal or back pain,Pancreatic Cancer
sensitivity to hot or cold foods brown or black staining visible holes or pits in teeth Toothache,Cavities
heightened startle response difficulty sleeping trouble concentrating emotional numbness,Post-Traumatic Stress Disorder (PTSD)
slightly raised borders Fever redness oval scaly patch on the skin headache gradual enlargement of the patch itching,Tinea Corporis (Ringworm)
shoulder or back pain headaches Neck pain reduced range of motion stiffness numbness or tingling in arms tenderness in the neck area muscle spasms,Neck Injury
irregular menstrual bleeding pain during intercourse Lower abdominal or pelvic pain painful urination in severe cases severe pelvic tenderness fever,Pelvic Inflammatory Disease (PID)
Usually no symptoms; in severe cases may cause xanthomas or signs of cardiovascular disease,High Cholesterol
drowsiness seizures vomiting confusion nausea sensitivity to light rash in some cases high fever,Meningitis
loss of awareness uncontrolled jerking movements unusual sensations temporary confusion staring spells Recurrent seizures fatigue after episodes,Epilepsy
nausea cloudy or foul-smelling urine painful urination vomiting blood in urine frequent urge to urinate,Kidney Stones
Edwards syndrome (Trisomy 18) No specific symptoms; this is a routine screening process during pregnancy to check for chromosomal abnormalities such as Down syndrome (Trisomy 21),Prenatal Aneuploidy Screening (First Trimester)
dry mouth low blood pressure vomiting rapid dehydration Profuse watery diarrhea,Cholera
loose teeth facial pain or pressure headaches reduced sense of smell swelling around the eyes numbness or tingling in the face nosebleeds double vision Persistent nasal blockage,Nasal and Sinus Cancer
abdominal pain symptoms related to allergies Fatigue fever breathing difficulty cough or underlying conditions causing high eosinophil levels infections,Eosinophilia
Vaginal bleeding in early pregnancy rapid uterine enlargement very high hCG levels vomiting severe nausea,Molar Pregnancy
numbness or weakness leg pain while walking in severe cases heart attack or stroke Often no symptoms until arteries are significantly narrowed; possible chest pain,Atherosclerosis
difficulty starting or stopping urine flow Frequent urination weak urine stream pelvic discomfort,Prostate Cancer
sensitivity to light high fever nausea rash in some cases drowsiness Severe headache stiff neck seizures confusion vomiting,Meningitis
headache itching oval scaly patch on the skin slightly raised borders redness,Tinea Corporis (Ringworm)
High fever headache sore throat sometimes vomiting or diarrhea dry cough muscle aches,Influenza
scaly patches on the skin thickened nails cracked or dry skin that may bleed Red itching silvery-white flakes,Skin and Scalp Psoriasis
swelling in legs or ankles reduced ability to exercise fainting chest pain,Cardiomyopathy
difficulty concentrating daytime fatigue Difficulty falling asleep irritability low energy non-refreshing sleep reduced productivity,Insomnia
Heavy vaginal bleeding passing tissue or clots decreased fetal movements severe abdominal or back pain,Late Miscarriage
weight loss anemia,Multiple Myeloma
gradual restriction of shoulder movement reduced range of motion,Frozen Shoulder
diarrhea fatigue pain that may radiate to the thighs nausea lower back pain headache Cramping pain in the lower abdomen,Dysmenorrhea
nasal congestion mild cough Mild breathing difficulty throat irritation general respiratory uneasiness slight chest discomfort,Upper Respiratory Tract Infection (URTI)
Increased thirst unexplained weight loss,Diabetes
shortness of breath chest pain while breathing or coughing,Pneumonia
hopelessness slowed thinking thoughts of self-harm poor concentration Severe persistent sadness,Psychotic Depression
general respiratory uneasiness mild cough,Upper Respiratory Tract Infection (URTI)
trembling shortness of breath sweating,Phobia
swelling in arms persistent pain limited movement of the affected area or trunk unexplained weight loss in advanced stages Painless or painful growing lump fatigue legs,Soft Tissue Sarcomas in Teenagers and Young Adults
pelvic pain or pressure frequent urination bloating back pain painful periods Heavy menstrual bleeding sometimes difficulty getting pregnant,Fibroids
difficulty lifting the arm Shoulder pain pain worsening at night,Frozen Shoulder
shoulder or back pain tenderness in the neck area stiffness,Neck Injury
cold hands shortness of breath cravings for non-food items like ice or clay weakness pale skin,Iron Deficiency Anaemia
frequent infections dry skin poor concentration hair loss Weight loss brittle nails irritability fatigue weakness,Malnutrition
bloating signs of dehydration such as dry mouth or dizziness vomiting abdominal cramps nausea fever,Gastroenteritis
Burning sensation during urination sometimes fever or blood in urine cloudy or foul-smelling urine pelvic discomfort,Urinary Tract Infection (UTI)
visual disturbances sensitivity to light,Migraine
muffled sounds Difficulty hearing conversations trouble hearing in noisy places withdrawal from conversations asking for repetitions ringing in ears (tinnitus) turning up volume frequently,Hearing Loss
Long-standing patterns of thinking behaving that differ from cultural expectations problems at work or social situations feeling rigid or harmful thinking patterns impulsive behaviour,Personality Disorder
vomiting High fever joint fatigue muscle pain pain behind the eyes rash nausea mild bleeding severe headache loss of appetite,Dengue
flushing thickened skin in severe cases Facial redness eye irritation burning or stinging sensation dry or sensitive skin,Rosacea
Chronic cough shortness of breath recurrent lung infections wheezing,Bronchiectasis
discoloured or thickened nails hair loss in affected areas itchy circular rash with raised edges cracked skin scaling,Ringworm and Other Fungal Infections
Fever paralysis confusion headache,Rabies
enlarged spleen causing discomfort after eating small amounts anaemia symptoms fatigue,Spleen Problems and Spleen Removal (Splenectomy)
weakness Often no symptoms; when present may include fatigue,Non-Alcoholic Fatty Liver Disease (NAFLD)
headache sweating fast heartbeat confusion Shakiness dizziness hunger,Hypoglycaemia
rapid or irregular heartbeat Shortness of breath reduced ability to exercise swelling in legs or ankles fatigue fainting chest pain,Cardiomyopathy
loss of height over time Weak back pain,Osteoporosis
mood changes such as anxiety or depression memory problems irritability sensitivity to light or noise difficulty concentrating blurred vision,Post-Concussion Syndrome (PCS)
severe cramping Bleeding between periods irregular cycles bleeding after sex or menopause very heavy periods passing large clots prolonged menstrual bleeding,Abnormal Uterine Bleeding
nausea sometimes no symptoms in early stages hormonal symptoms like rapid heartbeat or sweating fatigue,Neuroendocrine Tumours (NETs)
passing tissue or clots fluid leakage,Late Miscarriage
Excessive worry restlessness trouble sleeping difficulty concentrating feeling a sense of impending danger or panic rapid heartbeat,Mental Anxiety Disorder
Mild breathing difficulty sneezing throat irritation general respiratory uneasiness nasal congestion,Upper Respiratory Tract Infection (URTI)
symptoms worsening at night Uncomfortable sensations in the legs difficulty sleeping strong urge to move legs twitching or jerking of legs during rest,Restless Legs Syndrome
sleep problems difficulty with physical activity Excess body weight low energy,Obesity in Children
vaginal bleeding during pregnancy Repeated pregnancy losses before 20 weeks,Recurrent Miscarriage
difficulty sleeping Uncomfortable sensations in the legs twitching or jerking of legs during rest,Restless Legs Syndrome
Facial redness thickened skin in severe cases flushing acne-like bumps,Rosacea
Headaches numbness or tingling in hands blurred vision red or flushed skin feet a feeling of fullness in the left upper abdomen itching especially after a hot shower enlarged spleen,Polycythemia Vera
difficulty concentrating intermittent or constant noise or clicking sounds in one or both ears buzzing Ringing sleep disturbance humming hissing sometimes associated hearing loss,Tinnitus
reduced range of motion stiffness Neck pain,Neck Injury
prolonged diarrhea rash,HIV
localized tenderness over the bicipital groove difficulty elevating arm beyond 180 degrees,Bicipital Tendonitis (Right Shoulder)
headache fatigue Fever,COVID-19
nausea abdominal cramps,Lactose Intolerance
fear or panic chest pressure,Sleep Paralysis
sweating fatigue sometimes diarrhea or jaundice nausea headache muscle aches High fever with chills vomiting,Malaria
unpredictable episodes of regrowth Sudden patchy hair loss on the scalp or other body parts,Alopecia Areata
nausea stomach pain back or neck stiffness,Polio (Poliomyelitis)
reduced sense of smell numbness or tingling in the face facial pain or pressure double vision Persistent nasal blockage loose teeth headaches swelling around the eyes,Nasal and Sinus Cancer
Pain or fullness in the upper left abdomen enlarged spleen causing discomfort after eating small amounts frequent infections easy bruising or bleeding,Spleen Problems and Spleen Removal (Splenectomy)
weight loss white or red patches unexplained bleeding difficulty chewing or swallowing,Mouth Cancer
disturbed sleep cycle rapid mood changes,Delirium
lower back pain feet,Reactive Arthritis
buzzing humming sleep disturbance intermittent or constant noise sometimes associated hearing loss Ringing difficulty concentrating,Tinnitus
fever loss of appetite weakness high blood pressure changes in bowel or bladder habits dark circles around the eyes bone pain fatigue,Neuroblastoma (Childhood Tumour)
headache sore throat muscle aches dry cough chills fatigue runny or stuffy nose,Influenza
swelling unexplained weight loss in advanced cases increasing size of a mass,Soft Tissue Sarcomas
Sudden onset vomiting stomach cramps watery diarrhea nausea low-grade fever,Norovirus
nipple discharge breast pain,Breast Cancer
enlarged spleen causing discomfort after eating small amounts anaemia symptoms easy bruising or bleeding fatigue Pain or fullness in the upper left abdomen frequent infections,Spleen Problems and Spleen Removal (Splenectomy)
sometimes nosebleeds dizziness but may include headaches Often no symptoms blurred vision chest discomfort,High Blood Pressure (Hypertension)
dizziness feeling lightheaded shortness of breath chest discomfort Slow heartbeat especially during activity fainting episodes fatigue,Heart Block
Increased thirst dry mouth,Hyperglycaemia
unexplained weight loss dark urine new-onset diabetes Persistent upper abdominal or back pain loss of appetite,Pancreatic Cancer
rapid breathing clammy skin symptoms of severe infection reduced urine output high or very low fever cold Very low blood pressure,Septic Shock
burning sensation sensitivity to light itching watery or sticky discharge,Conjunctivitis
bleeding while brushing persistent bad taste in the mouth receding gums loose teeth Red swollen gums bad breath,Gum Disease
sometimes difficulty getting pregnant frequent urination Heavy menstrual bleeding constipation bloating pelvic pain or pressure back pain painful periods,Fibroids
difficulty thinking or problem-solving confusion personality or mood changes trouble with communication,Dementia
nausea rash in some cases confusion,Meningitis
discomfort during repetitive movements night pain when lying on the affected side Shoulder pain pain during overhead activities reduced range of motion weakness in the shoulder,Subacromial Pain Syndrome
Lower back pain pain radiating to the buttocks or legs,Spondylolisthesis
nausea back or shoulder pain pain after fatty meals vomiting Sudden right upper abdominal pain bloating indigestion,Gallstones
urinary symptoms such as burning or frequency red possible pain during ejaculation,Blood in Semen
headache strawberry tongue,Scarlet Fever
sometimes fever Frequent loose or watery stools dehydration nausea bloating,Diarrhoea
numbness or tingling in hands a feeling of fullness in the left upper abdomen fatigue red or flushed skin Headaches feet enlarged spleen blurred vision dizziness itching especially after a hot shower,Polycythemia Vera
Patau syndrome (Trisomy 13) No specific symptoms; this is a routine screening process during pregnancy to check for chromosomal abnormalities such as Down syndrome (Trisomy 21) Edwards syndrome (Trisomy 18),Prenatal Aneuploidy Screening (First Trimester)
altered taste redness cracking at the corners of the mouth White creamy patches on the tongue or inner cheeks burning sensation,Oral Thrush in Adults
stiffness in the right shoulder localized tenderness over the bicipital groove,Bicipital Tendonitis (Right Shoulder)
Severe flank or back pain blood in urine painful urination vomiting,Kidney Stones
fatigue warmth around joints,Arthritis
in advanced stages jaundice or swelling weakness,Non-Alcoholic Fatty Liver Disease (NAFLD)
rapid mood changes disorientation,Delirium
chest tightness Chronic cough large amounts of mucus wheezing fatigue shortness of breath recurrent lung infections sometimes coughing up blood,Bronchiectasis
cloudy or foul-smelling urine frequent urge to urinate nausea Severe flank or back pain vomiting painful urination blood in urine sharp pain radiating to the lower abdomen or groin,Kidney Stones
nipple inversion change in breast size or shape nipple discharge lumps in the underarm area,Breast Cancer
belching nausea bloating gas mild abdominal pain Upper abdominal discomfort fullness after eating burning sensation in the stomach,Indigestion
fever frequent infections,Non-Hodgkin Lymphoma in Children
nausea Fatigue shortness of breath on exertion dizziness weakness pale skin headache reduced concentration,Iron Deficiency Anemia
headache vomiting nausea,Malaria
fainting shoulder pain vaginal bleeding dizziness Sharp abdominal or pelvic pain,Ectopic Pregnancy
Intense itching small red bumps or blisters thin wavy burrow lines on the skin underarms especially at night wrists,Scabies
foul taste in mouth Severe toothache or neck fever ear sensitivity to hot or cold bad breath pain that spreads to jaw,Dental Abscess
dizziness rapid heartbeat poor concentration,Iron Deficiency Anemia
weight loss fever night sweats fatigue chest pain loss of appetite Persistent cough for more than 2–3 weeks coughing up blood,Tuberculosis
difficulty eating or speaking redness around the ulcer,Mouth Ulcer
burning sensation Red flaky scales on the scalp causing itching or dandruff-like appearance thickened nails itching scaly patches on the skin,Skin and Scalp Psoriasis
rigid or harmful thinking patterns trouble coping with stress impulsive behaviour behaving that differ from cultural expectations causing difficulty in relationships,Personality Disorder
Sudden sharp pain in the calf or thigh hard or knotted feeling in the muscle temporary difficulty moving the leg,Leg Cramps
surrounding skin tenderness dark or dead tissue fluid discharge slow healing foul smell in infected ulcers redness Open sore on the skin swelling,Skin Ulcer
Red flaky scales on the scalp causing itching or dandruff-like appearance burning sensation cracked or dry skin that may bleed scaly patches on the skin thickened nails itching,Skin and Scalp Psoriasis
enlarged calf muscles muscle cramps frequent falls delayed motor milestones in children,Muscular Dystrophy
gradual restriction of shoulder movement difficulty lifting the arm Shoulder pain pain worsening at night stiffness,Frozen Shoulder
in severe cases paralysis of limbs or breathing muscles back or neck stiffness stomach pain Fever muscle weakness sore throat fatigue headache,Polio (Poliomyelitis)
feeding problems clenched fists with overlapping fingers,Edwards’ Syndrome
feet fatigue Episodes of severe pain (pain crises),Sickle Cell Disease
spotting between periods light bleeding at the start or end of a period,Brown Discharge
usually on one side vomiting visual disturbances Throbbing or pulsating headache nausea sensitivity to light dizziness fatigue sound,Migraine
seeing floaters or shadows blurred or dim vision eye pain in some cases Sudden vision loss in one eye sudden difficulty focusing visual field loss,Eye Stroke
feeling lightheaded fatigue chest discomfort,Heart Block
mild abdominal pain Upper abdominal discomfort gas belching,Indigestion
Burning sensation during urination cloudy or foul-smelling urine pelvic discomfort,Urinary Tract Infection (UTI)
feeling a sense of impending danger or panic rapid heartbeat racing thoughts difficulty concentrating Excessive worry restlessness,Mental Anxiety Disorder
hoarseness lumps or thickening in the mouth Persistent mouth sores difficulty chewing or swallowing unexplained bleeding,Mouth Cancer
muscle weakness cramping in legs Lower back or neck pain numbness or tingling in legs or arms balance problems improves when bending forward pain that worsens when standing or walking,Spinal Stenosis
difficulty elevating arm beyond 180 degrees stiffness in the right shoulder discomfort during lifting or shifting motions shoulder movement causing discomfort while rotation remains full localized tenderness over the bicipital groove pain during movement,Bicipital Tendonitis (Right Shoulder)
Runny nose sometimes bluish lips or nails in severe cases wheezing fever decreased appetite cough irritability in infants sneezing,Respiratory Syncytial Virus (RSV)
reduced range of motion tenderness morning stiffness fatigue Joint pain,Psoriatic Arthritis
shortness of breath chest tightness Chronic cough sometimes coughing up blood wheezing,Bronchiectasis
weight loss kidney problems weakness high calcium levels Bone pain numbness in legs,Multiple Myeloma
rapid heartbeat nausea confusion headache fainting High body temperature muscle cramps vomiting hot dry skin or heavy sweating dizziness,Heatstroke and Heat Illness
usually on one side sound dizziness nausea,Migraine
in some cases emotional distress or changes in behavior inability to form new memories,Amnesia
erectile dysfunction or ejaculation issues in males irregular periods Inability to conceive after 12 months of regular unprotected intercourse reduced sexual desire hormonal symptoms like acne or excessive hair growth,Infertility
difficulty breathing in severe cases heart or nerve complications weakness Sore throat,Diphtheria
Upper abdominal pain a feeling of fullness after small meals loss of appetite jaundice abdominal swelling,Liver Tumours
feeling out of control situation rapid heartbeat avoidance behavior trembling Intense fear or anxiety triggered by a specific object shortness of breath or activity sweating,Phobia
headache dizziness nausea,Iron Deficiency Anemia
or brown discoloration of semen Pink possible pain during ejaculation,Blood in Semen
scaly or crusty areas Persistent skin lumps or patches,Skin Cancer (Non-Melanoma)
temporary difficulty moving the leg muscle tightness Sudden sharp pain in the calf or thigh lingering soreness after the cramp hard or knotted feeling in the muscle,Leg Cramps
cough a red blotchy skin rash that spreads from the face downward runny nose,Measles
fatigue weakness high blood pressure Abdominal swelling or mass fever,Neuroblastoma (Childhood Tumour)
Sudden pain around the belly button that moves to the lower right side nausea fever swollen abdomen vomiting worsening pain with movement or coughing constipation or diarrhea,Appendicitis in Children
sweating pain spreading to arm dizziness a feeling of impending doom,Heart Attack
unexplained weight loss fatigue diarrhea hormonal symptoms like rapid heartbeat or sweating flushing of the skin,Neuroendocrine Tumours (NETs)
foul smell abdominal pain,Black Stools
tar-like stools abdominal pain vomiting Dark foul smell dizziness in some cases signs of bleeding such as fatigue or shortness of breath,Black Stools
weakness in the forearm tenderness on the outer side of the elbow stiffness discomfort during wrist or hand movements Pain,Tennis Elbow
pressure or heaviness around the forehead discomfort worsening on bending forward tenderness over the frontal sinus,Frontal Sinusitis
smoke difficulty breathing during triggers like dust or exercise,Asthma
rapid heartbeat feeling a sense of impending danger or panic difficulty concentrating racing thoughts Excessive worry restlessness trembling irritability,Mental Anxiety Disorder
a red blotchy skin rash that spreads from the face downward small white spots inside the mouth (Koplik spots) High fever runny nose,Measles
abdominal or flank pain frequent urination sometimes no symptoms unless crystals form stones burning sensation while urinating Cloudy or gritty urine,Crystals in Urine
sudden vision problems loss of balance severe headache or confusion difficulty speaking or understanding speech,Stroke
withdrawal from social activities sudden changes in behavior Hallucinations disorganized thinking delusions,Psychosis
pain when gripping or lifting objects stiffness,Tennis Elbow
headaches ear fullness Neck lump nasal blockage hearing loss persistent sore throat frequent nosebleeds double vision facial numbness,Nasopharyngeal Cancer
shortness of breath sometimes no symptoms at all,Atrial Fibrillation
shortness of breath or sometimes no symptoms until a cardiac event fatigue irregular heartbeat Chest pain fainting palpitations,Inherited Heart Conditions
dry mouth frequent urination nausea,Hyperglycaemia
irregular periods hormonal symptoms like acne or excessive hair growth very painful periods reduced sexual desire Inability to conceive after 12 months of regular unprotected intercourse,Infertility
disorientation inability to form new memories,Amnesia
loss of appetite nausea vomiting constipation or diarrhea swollen abdomen,Appendicitis in Children
increased hunger frequent urination in some cases no noticeable symptoms Increased thirst blurred vision,Diabetes in Pregnancy
fatigue body aches chest discomfort wheezing,Chest Infection
Joint pain grinding or cracking sounds in joints pain worsening with movement or after long activity swelling stiffness,Osteoarthritis
Swollen difficulty chewing or swallowing muscle aches loss of appetite painful salivary glands (usually parotid) fever fatigue headache,Mumps
skin dimpling breast pain,Breast Cancer
fatigue shortness of breath high blood pressure Often no symptoms until arteries are significantly narrowed; possible chest pain,Atherosclerosis
sometimes coughing up blood fatigue Chronic cough large amounts of mucus shortness of breath chest tightness recurrent lung infections,Bronchiectasis
worsening pain with movement or coughing fever swollen abdomen loss of appetite,Appendicitis in Children
sugar in urine during tests Increased thirst increased hunger in some cases no noticeable symptoms blurred vision frequent urination fatigue,Diabetes in Pregnancy
general weakness muscle aches shortness of breath runny or stuffy nose Fever loss of smell or taste diarrhea sore throat cough fatigue,COVID-19
Temporary inability to move or speak upon waking or falling asleep short episodes lasting seconds to minutes feeling awake but unable to move,Sleep Paralysis
Neck pain muscle spasms reduced range of motion stiffness tenderness in the neck area shoulder or back pain headaches numbness or tingling in arms,Neck Injury
paralysis fear of water difficulty swallowing headache excessive salivation tingling or burning at the bite site,Rabies
frequent infections shortness of breath feet Episodes of severe pain (pain crises) vision problems fatigue,Sickle Cell Disease
soft or slurred speech muscle stiffness slow movements,Parkinson’s Disease
Recurrent seizures unusual sensations loss of awareness,Epilepsy
painful urination ankles feet heel pain lower back pain Joint pain,Reactive Arthritis
leg pain while walking in severe cases heart attack or stroke shortness of breath fatigue numbness or weakness,Atherosclerosis
rapid or irregular heartbeat dizziness reduced ability to exercise swelling in legs or ankles fatigue,Cardiomyopathy
eye irritation acne-like bumps Facial redness dry or sensitive skin burning or stinging sensation flushing thickened skin in severe cases,Rosacea
delusions slowed thinking Severe persistent sadness poor concentration low energy hopelessness hallucinations appetite or sleep changes,Psychotic Depression
Fatigue leg swelling jaundice abdominal swelling itchy skin easy bruising weight loss loss of appetite,Cirrhosis
high calcium levels numbness in legs,Multiple Myeloma
sometimes fruity-smelling breath or confusion in severe cases Increased thirst dry mouth frequent urination,Hyperglycaemia
Stomach pain visible tapeworm segments in stool fatigue,Tapeworm Infection
cough with or without phlegm rapid breathing Fever fatigue nausea in severe cases confusion or bluish lips chest pain while breathing or coughing chills,Pneumonia
leg swelling Fatigue jaundice loss of appetite,Cirrhosis
arms itching rashes that may appear on the face fever in some cases blisters neck dry or scaly skin,Skin Rashes in Children
fever loss of appetite bone pain weight loss fatigue weakness Abdominal swelling or mass dark circles around the eyes high blood pressure changes in bowel or bladder habits,Neuroblastoma (Childhood Tumour)
reduced flexibility Joint pain swelling stiffness grinding or cracking sounds in joints pain worsening with movement or after long activity,Osteoarthritis
discomfort spreading to arm jaw neck swelling in legs or ankles,Heart Disease
chest discomfort blurred vision sometimes nosebleeds Often no symptoms shortness of breath,High Blood Pressure (Hypertension)
burning sensation itching flaky scales on the scalp causing itching or dandruff-like appearance silvery-white flakes,Skin and Scalp Psoriasis
